,title,company,salary,summary,city,state
128,Dental Front Desk - Competitive Pay!,"General Dental Practice Union Square, SF",$30 - $35 an hour,Knowledge of Dentrix is strong plus.Competitive compensation package offered to strong candidates!High school or equivalent (Preferred).,San Francisco,CA
129,2021 Summer Internships,Common Sense Media Inc.,$17 an hour,Prior or current enrollment in college or university courses is not required.Interns need to be available to attend a minimum of six weekly educational Lunch &…,San Francisco,CA
130,Kennel Assistant,Animal Internal Medicine & Specialty Services,$16 - $19 an hour,This is an excellent entry position for someone with an interest in veterinary medicine.High stress tolerance -- thrives in a high-pressure environment.,San Francisco,CA
131,Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…",San Francisco,CA
132,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
133,"Curatorial Assistant, Contemporary Art",SFMOMA,$26.06 an hour,"Reporting to the Curator of Contemporary Art, the Curatorial Assistant supports the research, development and interpretation of the permanent collection,…",San Francisco,CA
134,Desk Clerk,Tenderloin Housing Clinic,$17.05 an hour,Must have a minimum of 1 year of experience working in front desk reception or in customer service.Desk Clerks are responsible for staffing the front desks of…,San Francisco,CA
135,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
136,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
137,,Jews for Jesus,"$35,005 - $50,000 a year",2-3 years experience in a related field or College degree.Sort and open incoming mail on a daily basis.File documents in designated filing cabinets.,San Francisco,CA
138,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
139,Summer 2021 Museum Internships (Paid),Fine Arts Museums of San Francisco,,"Weekly schedule: 6 hours per week of flexible independent work done remotely, with 4 hours of fixed virtual weekly meetings on Tuesdays and Thursdays, 10am-12pm…",San Francisco,CA
140,Dental Receptionist,Michael V. Gamboa DDS. Inc,$17 - $25 an hour,"Ensuring front office is neat and presentable for patients and guests.The right person does not necessarily need experience in the dental field, but will…",San Francisco,CA
141,2021 Summer Internships,Common Sense Media Inc.,$17 an hour,Prior or current enrollment in college or university courses is not required.Interns need to be available to attend a minimum of six weekly educational Lunch &…,San Francisco,CA
142,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
143,Kennel Assistant,Animal Internal Medicine & Specialty Services,$16 - $19 an hour,This is an excellent entry position for someone with an interest in veterinary medicine.High stress tolerance -- thrives in a high-pressure environment.,San Francisco,CA
144,Temporary Accounts Receivable and Student Accounts Cashier,San Francisco Art Institute,From $30 an hour,"4 year college degree required, Bachelor’s degree from an accredited university in finance, accounting, or a related field, and.",San Francisco,CA
145,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
146,"Curatorial Assistant, Contemporary Art",SFMOMA,$26.06 an hour,"Reporting to the Curator of Contemporary Art, the Curatorial Assistant supports the research, development and interpretation of the permanent collection,…",San Francisco,CA
147,Housekeeping Aide - Grade 100,Kaiser Permanente,,"Utilizing standard cleaning products, cleans auxiliary areas to include medication room, nursing station, tub room, soiled utility rooms, storage areas, staff…",San Francisco,CA
148,Boba Crew member,"SHARE TEA, SAN FRANCISCO",$17 - $19 an hour,"High stress tolerance -- thrives in a high-pressure environment.Prior customer service experience preferred not required.Job Types: Full-time, Part-time.",San Francisco,CA
149,Desk Clerk,Tenderloin Housing Clinic,$17.05 an hour,Must have a minimum of 1 year of experience working in front desk reception or in customer service.Desk Clerks are responsible for staffing the front desks of…,San Francisco,CA
150,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
151,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.,San Francisco,CA
152,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
153,Gift Processing Associate,Jews for Jesus,"$35,005 - $50,000 a year",2-3 years experience in a related field or College degree.Sort and open incoming mail on a daily basis.File documents in designated filing cabinets.,San Francisco,CA
154,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
